[2024-04-06 22:18:31] Options: Namespace(dataset='sp', learning_rate=0.001, tasks_per_batch=16, checkpoint_dir='checkpoint', test_model_path=None, training_iterations=100020, resume_from_checkpoint=False, way=5, shot=5, query_per_class=2, query_per_class_test=1, test_iters=[75000], num_test_tasks=10000, print_freq=10, seq_len=8, num_workers=4, method='resnet18', trans_linear_out_dim=1152, opt='sgd', trans_dropout=0.1, save_freq=5000, img_size=224, temp_set=[2], scratch='', num_gpus=1, debug_loader=False, split=1, sch=[1000000], trans_linear_in_dim=512, traintestlist='video_datasets\\splits\\surgicalphasev1TrainTestlist', path='video_datasets\\data\\surgicalphasev1_Xx256')

[2024-04-06 22:18:31] Checkpoint Directory: checkpoint

[2024-04-06 22:23:36] Task [10/100020], Train Loss: 0.0732440, Train Accuracy: 0.9666668
[2024-04-06 22:28:00] Task [20/100020], Train Loss: 0.6300955, Train Accuracy: 0.8200000
[2024-04-06 22:32:30] Task [30/100020], Train Loss: 0.6165351, Train Accuracy: 0.8900000
[2024-04-06 22:37:06] Task [40/100020], Train Loss: 0.2438107, Train Accuracy: 0.9299999
[2024-04-06 22:41:46] Task [50/100020], Train Loss: 0.4369156, Train Accuracy: 0.8900000
[2024-04-06 22:46:24] Task [60/100020], Train Loss: 0.0953846, Train Accuracy: 0.9600000
[2024-04-06 22:51:01] Task [70/100020], Train Loss: 0.0718278, Train Accuracy: 0.9700001
[2024-04-06 22:55:31] Task [80/100020], Train Loss: 0.7987530, Train Accuracy: 0.8400000
[2024-04-06 23:00:08] Task [90/100020], Train Loss: 0.4194644, Train Accuracy: 0.8800000
[2024-04-06 23:04:44] Task [100/100020], Train Loss: 0.2317514, Train Accuracy: 0.9200000
[2024-04-06 23:09:22] Task [110/100020], Train Loss: 0.1758002, Train Accuracy: 0.9500000
[2024-04-06 23:14:00] Task [120/100020], Train Loss: 0.4390532, Train Accuracy: 0.8900000
[2024-04-06 23:18:37] Task [130/100020], Train Loss: 0.3665343, Train Accuracy: 0.8900000
[2024-04-06 23:23:16] Task [140/100020], Train Loss: 0.4793439, Train Accuracy: 0.8600000
[2024-04-06 23:27:52] Task [150/100020], Train Loss: 0.2077211, Train Accuracy: 0.9200000
[2024-04-06 23:32:30] Task [160/100020], Train Loss: 0.4295453, Train Accuracy: 0.9100000
[2024-04-06 23:37:09] Task [170/100020], Train Loss: 0.2893375, Train Accuracy: 0.8800000
[2024-04-06 23:41:48] Task [180/100020], Train Loss: 0.3168184, Train Accuracy: 0.9200000
[2024-04-06 23:46:17] Task [190/100020], Train Loss: 0.5769717, Train Accuracy: 0.9000000
[2024-04-06 23:50:41] Task [200/100020], Train Loss: 0.3807393, Train Accuracy: 0.9300000
[2024-04-06 23:55:15] Task [210/100020], Train Loss: 0.1365794, Train Accuracy: 0.9400001
[2024-04-06 23:59:51] Task [220/100020], Train Loss: 0.3069566, Train Accuracy: 0.8900000
[2024-04-07 00:04:26] Task [230/100020], Train Loss: 0.2085690, Train Accuracy: 0.9200001
[2024-04-07 00:08:47] Task [240/100020], Train Loss: 0.2689202, Train Accuracy: 0.9300000
[2024-04-07 00:13:26] Task [250/100020], Train Loss: 0.1029175, Train Accuracy: 0.9700000
[2024-04-07 00:17:59] Task [260/100020], Train Loss: 0.2516750, Train Accuracy: 0.9200000
[2024-04-07 00:22:32] Task [270/100020], Train Loss: 0.2164361, Train Accuracy: 0.9299999
[2024-04-07 00:27:04] Task [280/100020], Train Loss: 0.4244067, Train Accuracy: 0.8900000
[2024-04-07 00:31:36] Task [290/100020], Train Loss: 0.1676424, Train Accuracy: 0.9299999
[2024-04-07 00:36:08] Task [300/100020], Train Loss: 0.3326797, Train Accuracy: 0.8900000
[2024-04-07 00:40:39] Task [310/100020], Train Loss: 0.4038048, Train Accuracy: 0.9100000
[2024-04-07 00:45:10] Task [320/100020], Train Loss: 0.1564468, Train Accuracy: 0.9300000
[2024-04-07 00:49:44] Task [330/100020], Train Loss: 0.2929979, Train Accuracy: 0.9299999
[2024-04-07 00:54:16] Task [340/100020], Train Loss: 0.1440543, Train Accuracy: 0.9399999
[2024-04-07 00:58:47] Task [350/100020], Train Loss: 0.2276597, Train Accuracy: 0.9299999
[2024-04-07 01:03:18] Task [360/100020], Train Loss: 0.1589773, Train Accuracy: 0.9299999
[2024-04-07 01:07:50] Task [370/100020], Train Loss: 0.4552782, Train Accuracy: 0.8500000
[2024-04-07 01:12:21] Task [380/100020], Train Loss: 0.0638218, Train Accuracy: 0.9700000
[2024-04-07 01:16:52] Task [390/100020], Train Loss: 0.1839747, Train Accuracy: 0.9399999
[2024-04-07 01:21:23] Task [400/100020], Train Loss: 0.2416222, Train Accuracy: 0.9500000
[2024-04-07 01:25:55] Task [410/100020], Train Loss: 0.1217500, Train Accuracy: 0.9600000
[2024-04-07 01:30:26] Task [420/100020], Train Loss: 0.2455800, Train Accuracy: 0.9600000
[2024-04-07 01:34:56] Task [430/100020], Train Loss: 0.0612141, Train Accuracy: 0.9600000
[2024-04-07 01:39:25] Task [440/100020], Train Loss: 0.2075141, Train Accuracy: 0.9300000
[2024-04-07 01:43:45] Task [450/100020], Train Loss: 0.1625268, Train Accuracy: 0.9200001
[2024-04-07 01:48:13] Task [460/100020], Train Loss: 0.1047848, Train Accuracy: 0.9700000
[2024-04-07 01:52:34] Task [470/100020], Train Loss: 0.3186955, Train Accuracy: 0.9000000
[2024-04-07 01:56:53] Task [480/100020], Train Loss: 0.2100683, Train Accuracy: 0.9100000
[2024-04-07 02:01:12] Task [490/100020], Train Loss: 0.1681157, Train Accuracy: 0.9500000
[2024-04-07 02:05:29] Task [500/100020], Train Loss: 0.2786280, Train Accuracy: 0.8900000
[2024-04-07 02:09:46] Task [510/100020], Train Loss: 0.2309107, Train Accuracy: 0.9200001
[2024-04-07 02:14:03] Task [520/100020], Train Loss: 0.4730788, Train Accuracy: 0.8999999
[2024-04-07 02:18:17] Task [530/100020], Train Loss: 0.0978117, Train Accuracy: 0.9600000
[2024-04-07 02:22:30] Task [540/100020], Train Loss: 0.1324374, Train Accuracy: 0.9600000
[2024-04-07 02:26:44] Task [550/100020], Train Loss: 0.2617012, Train Accuracy: 0.9200000
[2024-04-07 02:31:00] Task [560/100020], Train Loss: 0.1910328, Train Accuracy: 0.9200000
[2024-04-07 02:35:16] Task [570/100020], Train Loss: 0.0579715, Train Accuracy: 0.9500000
[2024-04-07 02:39:32] Task [580/100020], Train Loss: 0.1189043, Train Accuracy: 0.9500000
[2024-04-07 02:43:47] Task [590/100020], Train Loss: 0.1193348, Train Accuracy: 0.9500000
