trial_path,method,temp_set,query_per_class,seq_len,lr,val_accuracy,iteration
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00028_28_lr=0.0001,query_per_class=5,temp_set=2_3_2024-06-12_00-00-41",resnet18,"[2, 3]",5,9,0.0001,90.80000051856041,3100
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00017_17_lr=0.0000,query_per_class=2,temp_set=2_3_2024-06-16_19-58-38",resnet34,"[2, 3]",2,9,1e-05,89.20000064373016,7800
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00004_4_lr=0.0001,query_per_class=2,temp_set=2_2024-06-12_00-00-41",resnet18,[2],2,14,0.0001,88.80000066757202,9200
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00013_13_lr=0.0001,query_per_class=5,temp_set=2_2024-06-12_00-00-41",resnet18,[2],5,10,0.0001,88.20000070333481,9800
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00022_22_lr=0.0001,query_per_class=4,temp_set=2_3_2024-06-16_19-58-38",resnet34,"[2, 3]",4,7,0.0001,87.80000066757202,5000
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00007_7_lr=0.0001,query_per_class=3,temp_set=2_2024-06-12_00-00-41",resnet18,[2],3,12,0.0001,87.6000007390976,4400
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00011_11_lr=0.0000,query_per_class=4,temp_set=2_2024-06-12_00-00-41",resnet18,[2],4,11,1e-05,87.60000067949295,7600
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00007_7_lr=0.0001,query_per_class=3,temp_set=2_2024-06-16_19-58-38",resnet34,[2],3,8,0.0001,87.60000067949295,1600
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00020_20_lr=0.0000,query_per_class=3,temp_set=2_3_2024-06-16_19-58-38",resnet34,"[2, 3]",3,8,1e-05,87.60000063478947,6900
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00005_5_lr=0.0000,query_per_class=2,temp_set=2_2024-06-12_00-00-41",resnet18,[2],2,14,1e-05,87.40000069141388,9200
